                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210428"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                star_mdot                                num_zones               log_total_angular_momentum                                 log_Teff                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                 log_Ledd                           log_L_div_Ledd                    surface_optical_depth                           surf_avg_j_rot                           surf_avg_omega            surf_avg_omega_div_omega_crit                      surf_avg_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                            surf_escape_v                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                              cz_top_mass                            cz_top_radius                             cz_top_omega                             he_core_mass                           he_core_radius                            he_core_omega                              c_core_mass                            c_core_radius                             c_core_omega                                 log_Lnuc                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                             center_omega                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_si28                              surface_c12                              surface_n14                              surface_o16                             surface_fe56                           log_surface_h1                          log_surface_he4                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                       c_log_eps_burn_cno                        v_div_csound_surf                   surface_accel_div_grav                              num_retries                             k_const_mass                             q_const_mass                                  Gamma_e                                     vesc                                     vinf                                 w_vink01                             use_w_vink01                                 w_vink18                             use_w_vink18                                 w_leuven                             use_w_leuven                                w_krticka                            use_w_krticka                                 w_beasor                             use_w_beasor                                    w_kee                                use_w_kee                                 w_sander                             use_w_sander                                    f_rot                                Mdot_orig 
                                       1                  2.0286020648339516E+001                  2.9999997903599741E+001                 -1.0334211394609840E-007                                     2372                  5.2993713155578931E+001                  4.5627792314146003E+000                  3.6540899295036354E+004                  9.8645788637353224E+004                  7.8367135506880334E+000                  9.8645788637353224E+004                  4.9940785491867983E+000                  8.9413397262869598E-001                  7.8367135506880334E+000                  4.1269209064168999E+000                  5.4336869492401600E+000                 -4.3960840005336227E-001                  6.6666666666666663E-001                  1.5136769247818050E+019                  6.9827302882893822E-005                  5.7729838427360014E-001                  1.2095759685347439E-004                  3.8997125723933675E+002                  6.7551500739475796E+002                  1.2085188786152679E+008                  0.0000000000000000E+000                  1.1210269129028814E+000                  1.8042705501246619E+001                  2.6636749441593928E+000                  7.2574566026506346E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7063852009425764E+000                  1.8043064820289857E+001                  6.0142355873570419E-001                  7.8126636049447029E-008                  9.9999999998545552E-001                  9.9999996961032755E-001                  1.0000000000000000E+000                  7.8126636049447029E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2961265784727070E+034                  3.1908610102554594E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5540119129195444E+000                  4.8011409316674813E-001                  1.6275480447906997E+001                  6.1124121571201440E-001                  7.0759894928137108E-005                  7.1999363641203551E-001                  2.6600007415049026E-001                  1.7939063927938804E-003                  6.6056907726239240E-004                  6.5712403782316560E-003                  0.0000000000000000E+000                  1.8316842575900950E-003                  6.1644275234446974E-004                  6.5712999774571925E-003                  0.0000000000000000E+000                 -1.4266750356873081E-001                 -5.7511836336893307E-001                  2.1599880510831973E+001                  7.9800008167261893E+000                  1.2846137309082373E+000                  5.7063687564277972E+000                 -2.8100900038340971E+001                 -1.7507133030954428E+001                 -2.1305106890590292E+001                 -2.7149782918217042E+001                  5.8789850912063155E+000                  1.5147990119736636E-005                  6.5283351223258107E-012                                        0                                      614                  9.7986471851952928E-001                  2.2644895045002789E-035                  1.2085188786152679E+008                  3.1421490843996966E+008                  1.9704200626799338E-007                  0.0000000000000000E+000                  7.4784521050580292E-007                  0.0000000000000000E+000                  3.4847346490907287E-008                  0.0000000000000000E+000                  9.0655956079227955E-008                  1.0000000000000000E+000                  1.5250800640270818E-009                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1127926831561543E+000                  9.0655956079227955E-008 
                                       2                  3.6514837167011130E+001                  2.9999996692957520E+001                 -7.4598305777331836E-008                                     3368                  5.3004956585869614E+001                  4.5626679163434822E+000                  3.6531534608779482E+004                  1.0022728954912086E+005                  7.9033337310559890E+000                  1.0022728954912086E+005                  5.0009859858723420E+000                  8.9781032111370285E-001                  7.9033337310559890E+000                  4.1195681919210436E+000                  5.4409245990281709E+000                 -4.3993861315582894E-001                  6.6666666666666663E-001                  1.6091974823162298E+019                  7.1936582092170496E-005                  6.0618785843615275E-001                  1.1867297231683712E-004                  4.0693817360860413E+002                  6.7131180966619570E+002                  1.2034145443510401E+008                  0.0000000000000000E+000                  1.1192803833428218E+000                  1.6573248385097944E+001                  2.5365450779564931E+000                  7.1203790772082475E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6773266442308001E+000                  1.6577272271843437E+001                  5.5244167373486763E-001                  7.8126637603759264E-008                  9.9999999547008922E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126637603759264E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2714475538974032E+034                  3.1738753050769939E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5530802579008496E+000                  4.7524589235274467E-001                  1.6270135904596074E+001                  6.1124394757673095E-001                  7.2131804131779479E-005                  7.1998851923648621E-001                  2.6600013708123804E-001                  1.7635475934842718E-003                  6.9602993734913714E-004                  6.5711920800691388E-003                  0.0000000000000000E+000                  1.8316842575900937E-003                  6.1644275234447017E-004                  6.5712999774571830E-003                  0.0000000000000000E+000                 -1.4266750356873129E-001                 -5.7511836336893285E-001                  2.1599791370667646E+001                  7.9800015799710122E+000                  1.2807169913484435E+000                  5.6773092188061254E+000                 -2.8177131403992941E+001                 -1.7558999328962312E+001                 -2.1332889590336926E+001                 -2.7205824438378411E+001                  5.8544440515124858E+000                  2.4394929389445825E-006                 -6.9579706504100571E-012                                        0                                      599                  9.7986475806172024E-001                  2.3007941600216739E-035                  1.2034145443510401E+008                  3.1288778153127044E+008                  1.0120959549191656E-007                  0.0000000000000000E+000                  7.4784510076100445E-007                  0.0000000000000000E+000                  2.0558700056386529E-008                  0.0000000000000000E+000                  6.6263628539261412E-008                  1.0000000000000000E+000                  4.6943721781992714E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1262253532521063E+000                  6.6263628539261412E-008 
                                       3                  4.9497890381948423E+001                  2.9999995703213994E+001                 -7.6233495140732606E-008                                     3370                  5.2998938656797236E+001                  4.5638961041713006E+000                  3.6634992264314467E+004                  1.0171831102960795E+005                  7.9169977717406610E+000                  1.0171831102960795E+005                  5.0073991403690750E+000                  8.9856052270643283E-001                  7.9169977717406610E+000                  4.1180677744075762E+000                  5.4428287977895460E+000                 -4.3542965742047052E-001                  6.6666666666666663E-001                  1.5925307478993002E+019                  7.1022184250363012E-005                  6.0048325272388203E-001                  1.1827761396650614E-004                  4.0231637291322323E+002                  6.6999252225131102E+002                  1.2023755822999613E+008                  0.0000000000000000E+000                  1.1190779859608495E+000                  1.7790077347153279E+001                  2.6526705975862748E+000                  7.0966568379903687E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6615578505797481E+000                  1.7798659665463951E+001                  5.9300266317196082E-001                  7.8126640601361430E-008                  9.9999999473958745E-001                  9.9999996025990523E-001                  1.0000000000000000E+000                  7.8126640601361430E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2596138966025194E+034                  3.1651086350437515E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5524334636712416E+000                  4.7290200499265378E-001                  1.6267233265156808E+001                  6.1124574941205367E-001                  7.0961604132507719E-005                  7.1998514549367643E-001                  2.6600018022053129E-001                  1.7435418948748315E-003                  7.1939799957796140E-004                  6.5711599880487826E-003                  0.0000000000000000E+000                  1.8316842575900937E-003                  6.1644275234447007E-004                  6.5712999774571838E-003                  0.0000000000000000E+000                 -1.4266750356873134E-001                 -5.7511836336893274E-001                  2.1599722564724097E+001                  7.9800021842386126E+000                  1.2793252928512513E+000                  5.6615398386286371E+000                 -2.8215452575615437E+001                 -1.7586124426287260E+001                 -2.1343725432473011E+001                 -2.7233754976235332E+001                  5.8386305423241378E+000                  6.2132388905681773E-007                 -1.2515253458635522E-012                                        0                                      601                  9.7986479038888474E-001                  2.3350217765848876E-035                  1.2023755822999613E+008                  3.1261765139798993E+008                  1.0475557370159437E-007                  0.0000000000000000E+000                  7.4784503738490168E-007                  0.0000000000000000E+000                  2.1273775568433997E-008                  0.0000000000000000E+000                  6.7856715372685678E-008                  1.0000000000000000E+000                  5.0667968608331843E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1234883022371163E+000                  6.7856715372685678E-008 
                                       4                  6.1343035092865691E+001                  2.9999994778782668E+001                 -7.8043058431594195E-008                                     3365                  5.2998669732350386E+001                  4.5639553475550416E+000                  3.6639990091908985E+004                  1.0221482468181521E+005                  7.9341317852408872E+000                  1.0221482468181521E+005                  5.0095138880746166E+000                  8.9949940979172238E-001                  7.9341317852408872E+000                  4.1161899868544811E+000                  5.4438817430899933E+000                 -4.3436785501537628E-001                  6.6666666666666663E-001                  1.5921526983870306E+019                  7.0718450014447157E-005                  6.0038119941218571E-001                  1.1779182472625666E-004                  4.0142267662141012E+002                  6.6861788554005363E+002                  1.2010765776892272E+008                  0.0000000000000000E+000                  1.1188414452232349E+000                  1.8008055734108989E+001                  2.6781548401832174E+000                  7.0675094835753993E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6435273778541646E+000                  1.8015702301004598E+001                  6.0026862894139854E-001                  7.8126644931231226E-008                  9.9999999473958745E-001                  9.9999996057700435E-001                  1.0000000000000000E+000                  7.8126644931231226E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2452185411058215E+034                  3.1538933397969035E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5516259520812561E+000                  4.7031125666821544E-001                  1.6263871148469811E+001                  6.1124740492945473E-001                  7.0693279005201520E-005                  7.1998204663975718E-001                  2.6600022104842119E-001                  1.7251733897379205E-003                  7.4085383944147334E-004                  6.5711303683873160E-003                  0.0000000000000000E+000                  1.8316842575900913E-003                  6.1644275234446931E-004                  6.5712999774571882E-003                  0.0000000000000000E+000                 -1.4266750356873181E-001                 -5.7511836336893285E-001                  2.1599662303178647E+001                  7.9800027218366090E+000                  1.2767544008194069E+000                  5.6435087131690898E+000                 -2.8262900568004348E+001                 -1.7618310603241742E+001                 -2.1362306046417977E+001                 -2.7268536464015593E+001                  5.8207616946956415E+000                  8.5275743408504579E-007                  1.7784223820612129E-013                                        0                                      596                  9.7986482058281332E-001                  2.3464197002539634E-035                  1.2010765776892272E+008                  3.1227991019919908E+008                  1.0875110653782855E-007                  0.0000000000000000E+000                  7.4784498557266339E-007                  0.0000000000000000E+000                  2.1959929284506495E-008                  0.0000000000000000E+000                  6.9448664809388342E-008                  1.0000000000000000E+000                  5.4389724880879447E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1234397088181201E+000                  6.9448664809388342E-008 
                                       5                  7.5557208745966420E+001                  2.9999993661326286E+001                 -7.8615641763283136E-008                                     3365                  5.2998344984605147E+001                  4.5638838140992126E+000                  3.6633955547653452E+004                  1.0258014877752594E+005                  7.9509165443376837E+000                  1.0258014877752594E+005                  5.0110633246109169E+000                  9.0041719497152906E-001                  7.9509165443376837E+000                  4.1143544003180272E+000                  5.4445365378839057E+000                 -4.3347321327298877E-001                  6.6666666666666663E-001                  1.5912248070574234E+019                  7.0417111329339194E-005                  6.0006938778138330E-001                  1.1735085609791006E-004                  4.0048740050482218E+002                  6.6740670678482252E+002                  1.1998081209620686E+008                  0.0000000000000000E+000                  1.1186841608287534E+000                  1.8180433189196989E+001                  2.7001645885144296E+000                  7.0410513658746029E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6231778939421755E+000                  1.8187035382744590E+001                  6.0601456768418671E-001                  7.8126645930431948E-008                  9.9999999473958745E-001                  9.9999996038641892E-001                  1.0000000000000000E+000                  7.8126645930431948E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2288944249508849E+034                  3.1411373720769814E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5507177562398891E+000                  4.6740137096805023E-001                  1.6260092869576166E+001                  6.1124926910688360E-001                  7.0369269668017724E-005                  7.1997855701455837E-001                  2.6600026873668065E-001                  1.7044987684520514E-003                  7.6500359890188186E-004                  6.5710968050041981E-003                  0.0000000000000000E+000                  1.8316842575900943E-003                  6.1644275234446985E-004                  6.5712999774571925E-003                  0.0000000000000000E+000                 -1.4266750356873134E-001                 -5.7511836336893296E-001                  2.1599593260860878E+001                  7.9800033534973664E+000                  1.2738428971090681E+000                  5.6231584645582906E+000                 -2.8316322883597902E+001                 -1.7654594273377143E+001                 -2.1383652978699413E+001                 -2.7307680983981484E+001                  5.8006003835357474E+000                  6.9562833989490190E-007                 -1.0033546244544538E-013                                        0                                      596                  9.7986485708136106E-001                  2.3548060827909643E-035                  1.1998081209620686E+008                  3.1195011145013785E+008                  1.0994565569829817E-007                  0.0000000000000000E+000                  7.4784493717946248E-007                  0.0000000000000000E+000                  2.2191007096804790E-008                  0.0000000000000000E+000                  6.9961026919894432E-008                  1.0000000000000000E+000                  5.5675979164196752E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1232913622241520E+000                  6.9961026919894432E-008 
                                       6                  9.2614217129687276E+001                  2.9999992313237534E+001                 -7.9034301912923638E-008                                     3365                  5.2998375633585702E+001                  4.5636432081852130E+000                  3.6613665386176945E+004                  1.0280991024515504E+005                  7.9686405025625149E+000                  1.0280991024515504E+005                  5.0120349800030359E+000                  9.0138423449558924E-001                  7.9686405025625149E+000                  4.1124203017543186E+000                  5.4449597220278969E+000                 -4.3292474202486037E-001                  6.6666666666666663E-001                  1.5910695734026291E+019                  7.0129955024603866E-005                  5.9986929643086373E-001                  1.1691129418625236E-004                  3.9968325083882888E+002                  6.6628878095205630E+002                  1.1984730365147527E+008                  0.0000000000000000E+000                  1.1185725354141880E+000                  1.8342443460568123E+001                  2.7221210256927768E+000                  7.0146776511751413E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6000156361673019E+000                  1.8349081708023796E+001                  6.1141493867898411E-001                  7.8126648817011812E-008                  9.9999999473958745E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126648817011812E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2101738104259307E+034                  3.1264365069497492E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5496836465292949E+000                  4.6411273583019474E-001                  1.6255810020186811E+001                  6.1125136137082747E-001                  7.0065662842727525E-005                  7.1997464026063873E-001                  2.6600032444523436E-001                  1.6813065759374789E-003                  7.9209435138644275E-004                  6.5710588683746060E-003                  0.0000000000000000E+000                  1.8316842575900911E-003                  6.1644275234446887E-004                  6.5712999774571847E-003                  0.0000000000000000E+000                 -1.4266750356873195E-001                 -5.7511836336893307E-001                  2.1599514662592174E+001                  7.9800040930134006E+000                  1.2704598874783535E+000                  5.5999953014223358E+000                 -2.8377198773904638E+001                 -1.7695915411317269E+001                 -2.1408733228743692E+001                 -2.7352278063527212E+001                  5.7776712065470379E+000                  6.1212207542944651E-007                 -4.4812493028238172E-014                                        0                                      596                  9.7986490111286539E-001                  2.3600805397592377E-035                  1.1984730365147527E+008                  3.1160298949383569E+008                  1.1077741625750342E-007                  0.0000000000000000E+000                  7.4784487868156762E-007                  0.0000000000000000E+000                  2.2361855533441639E-008                  0.0000000000000000E+000                  7.0332487454342944E-008                  1.0000000000000000E+000                  5.6637674862800170E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1231962349936522E+000                  7.0332487454342944E-008 
                                       7                  1.1308262719015234E+002                  2.9999990690387801E+001                 -7.9285578752150094E-008                                     3365                  5.2998643831184538E+001                  4.5632698093208592E+000                  3.6582199120615856E+004                  1.0294043705360683E+005                  7.9874204546282614E+000                  1.0294043705360683E+005                  5.0125860077995865E+000                  9.0240654612257221E-001                  7.9874204546282614E+000                  4.1103756550071893E+000                  5.4452144377236937E+000                 -4.3262842992410749E-001                  6.6666666666666663E-001                  1.5913804659275483E+019                  6.9843009725148342E-005                  5.9967851302131825E-001                  1.1646998524719238E-004                  3.9893309043100339E+002                  6.6524981989474497E+002                  1.1970632554202715E+008                  0.0000000000000000E+000                  1.1185048332338294E+000                  1.8502860446922295E+001                  2.7448444585036409E+000                  6.9881991148315430E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5740209751616590E+000                  1.8504110395395188E+001                  6.1676220629130851E-001                  7.8126651703591676E-008                  9.9999999473958745E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126651703591676E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1890250754138603E+034                  3.1097554644737632E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5485282312841306E+000                  4.6045674143358645E-001                  1.6251039126122766E+001                  6.1125370447908034E-001                  6.9764435839770163E-005                  7.1997025362391143E-001                  2.6600038960072592E-001                  1.6553485229624753E-003                  8.2241622052186820E-004                  6.5710160409484112E-003                  0.0000000000000000E+000                  1.8316842575900945E-003                  6.1644275234446996E-004                  6.5712999774571986E-003                  0.0000000000000000E+000                 -1.4266750356873115E-001                 -5.7511836336893296E-001                  2.1599425759359061E+001                  7.9800049560468871E+000                  1.2666564929698521E+000                  5.5739995743359794E+000                 -2.8445291170291465E+001                 -1.7742221655185951E+001                 -2.1437362251633580E+001                 -2.7402142684810769E+001                  5.7519525352361018E+000                  5.4079203011974279E-007                 -3.2185415260933300E-014                                        0                                      596                  9.7986495411866514E-001                  2.3630770108393930E-035                  1.1970632554202715E+008                  3.1123644640927058E+008                  1.1121345737278860E-007                  0.0000000000000000E+000                  7.4784480811026482E-007                  0.0000000000000000E+000                  2.2469665430806917E-008                  0.0000000000000000E+000                  7.0555350221102292E-008                  1.0000000000000000E+000                  5.7249232921587796E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1231055792541256E+000                  7.0555350221102292E-008 
                                       8                  1.3764471926271040E+002                  2.9999988739836517E+001                 -7.9413075816992942E-008                                     3365                  5.2999131004006330E+001                  4.5627789974903479E+000                  3.6540879612998920E+004                  1.0299167578178841E+005                  8.0074867405632997E+000                  1.0299167578178841E+005                  5.0128021246262611E+000                  9.0349622819693209E-001                  8.0074867405632997E+000                  4.1081962626213384E+000                  5.4448223262268449E+000                 -4.3202020160058319E-001                  6.6666666666666663E-001                  1.5921704310973966E+019                  6.9553058310839152E-005                  5.9950902288402796E-001                  1.1601925154444039E-004                  3.9822894453125195E+002                  6.6426334445093858E+002                  1.1955623910269062E+008                  0.0000000000000000E+000                  1.1184743317801633E+000                  1.8645014045729607E+001                  2.7667226925992345E+000                  6.9611550926664228E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5451512653688750E+000                  1.8650711084084833E+001                  6.2150070146430370E-001                  7.8126656477550682E-008                  9.9999999473958745E-001                  9.9999995941203668E-001                  1.0000000000000000E+000                  7.8126656477550682E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1653829929483511E+034                  3.0910277990425418E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5472541889574982E+000                  4.5644349104637277E-001                  1.6245792503379036E+001                  6.1125631547145087E-001                  6.9463442118022513E-005                  7.1996536504710307E-001                  2.6600046572383496E-001                  1.6264411204142196E-003                  8.5618367078113718E-004                  6.5709678726212049E-003                  0.0000000000000000E+000                  1.8316842575900917E-003                  6.1644275234446931E-004                  6.5712999774571864E-003                  0.0000000000000000E+000                 -1.4266750356873187E-001                 -5.7511836336893352E-001                  2.1599325852360074E+001                  7.9800059598011375E+000                  1.2624663768768707E+000                  5.5451286131500224E+000                 -2.8520472282814183E+001                 -1.7793517798616950E+001                 -2.1469489445757162E+001                 -2.7457172405226284E+001                  5.7234032920575206E+000                  4.8202112418836919E-007                 -2.2290665348217579E-014                                        0                                      596                  9.7986501782791713E-001                  2.3642533890256221E-035                  1.1955623910269062E+008                  3.1084622166699564E+008                  1.1135331082474448E-007                  0.0000000000000000E+000                  7.4784472315546441E-007                  0.0000000000000000E+000                  2.2531035448373446E-008                  0.0000000000000000E+000                  7.0667874829036648E-008                  1.0000000000000000E+000                  5.7599004658618261E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1230250874255474E+000                  7.0667874829036648E-008 
                                       9                  1.6711922974978006E+002                  2.9999986398391133E+001                 -7.9439669718986625E-008                                     3365                  5.2999804711364909E+001                  4.5621866723636453E+000                  3.6491076245003504E+004                  1.0298181521086028E+005                  8.0289746639221971E+000                  1.0298181521086028E+005                  5.0127605426583575E+000                  9.0466008746638460E-001                  8.0289746639221971E+000                  4.1058685101865251E+000                  5.4448618587259912E+000                 -4.3210131606763419E-001                  6.6666666666666663E-001                  1.5934097208694563E+019                  6.9256974659605996E-005                  5.9936571118221249E-001                  1.1555298762502429E-004                  3.9755773648389811E+002                  6.6330230344848508E+002                  1.1939614323765710E+008                  0.0000000000000000E+000                  1.1184722427831559E+000                  1.8785868878620370E+001                  2.7893440652855426E+000                  6.9331792575014575E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5134344409735316E+000                  1.8785882974902524E+001                  6.2619591319640844E-001                  7.8126662250710410E-008                  9.9999999473958745E-001                  9.9999995792229968E-001                  1.0000000000000000E+000                  7.8126662250710410E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1392466470096158E+034                  3.0702335086547235E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5458689051157846E+000                  4.5209756642195187E-001                  1.6240101574740169E+001                  6.1125921098952618E-001                  6.9159585486677118E-005                  7.1995994316882983E-001                  2.6600055459390248E-001                  1.5944065903084515E-003                  8.9360453537769291E-004                  6.5709138770328329E-003                  0.0000000000000000E+000                  1.8316842575900934E-003                  6.1644275234446974E-004                  6.5712999774571899E-003                  0.0000000000000000E+000                 -1.4266750356873148E-001                 -5.7511836336893296E-001                  2.1599214298456822E+001                  7.9800071234074412E+000                  1.2579544034298582E+000                  5.5134103243595485E+000                 -2.8602338382614391E+001                 -1.7849656703648158E+001                 -2.1504898359685232E+001                 -2.7517062346312194E+001                  5.6920518176797446E+000                  4.3074924944454194E-007                 -1.6331388898029231E-014                                        0                                      596                  9.7986509430463231E-001                  2.3640272165193454E-035                  1.1939614323765710E+008                  3.1042997241790849E+008                  1.1125024315235340E-007                  0.0000000000000000E+000                  7.4784462104577264E-007                  0.0000000000000000E+000                  2.2555150920790446E-008                  0.0000000000000000E+000                  7.0690407633182566E-008                  1.0000000000000000E+000                  5.7736810387730165E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1229570541002214E+000                  7.0690407633182566E-008 
