                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210428"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                star_mdot                                num_zones               log_total_angular_momentum                                 log_Teff                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                 log_Ledd                           log_L_div_Ledd                    surface_optical_depth                           surf_avg_j_rot                           surf_avg_omega            surf_avg_omega_div_omega_crit                      surf_avg_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                            surf_escape_v                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                              cz_top_mass                            cz_top_radius                             cz_top_omega                             he_core_mass                           he_core_radius                            he_core_omega                              c_core_mass                            c_core_radius                             c_core_omega                                 log_Lnuc                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                             center_omega                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_si28                              surface_c12                              surface_n14                              surface_o16                             surface_fe56                           log_surface_h1                          log_surface_he4                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                       c_log_eps_burn_cno                        v_div_csound_surf                   surface_accel_div_grav                              num_retries                             k_const_mass                             q_const_mass                                  Gamma_e                                     vesc                                     vinf                                 w_vink01                             use_w_vink01                                 w_vink18                             use_w_vink18                                 w_leuven                             use_w_leuven                                w_krticka                            use_w_krticka                                 w_beasor                             use_w_beasor                                    w_kee                                use_w_kee                                 w_sander                             use_w_sander                                    f_rot                                Mdot_orig 
                                       1                  2.0286020648339516E+001                  2.9999999194162314E+001                 -3.9723793201577168E-008                                     2372                  5.2993713327220874E+001                  4.5627551437886549E+000                  3.6538872653801220E+004                  9.8646876096765744E+004                  7.8376261070337936E+000                  9.8646876096765744E+004                  4.9940833367709976E+000                  8.9418454167268657E-001                  7.8376261070337936E+000                  4.1268197870117262E+000                  5.4340849140855507E+000                 -4.4000157731455364E-001                  6.6666666666666663E-001                  1.5154553851353383E+019                  6.9828915981531492E-005                  5.7748181596695924E-001                  1.2092198972781147E-004                  3.9013279309785077E+002                  6.7558020102827106E+002                  1.2084485469731522E+008                  0.0000000000000000E+000                  1.1209939774511088E+000                  1.8042705501246612E+001                  2.6636748578338056E+000                  7.2553201746419519E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7063854465156361E+000                  1.8043064820289853E+001                  6.0142353286321204E-001                  7.8126632274688745E-008                  9.9999999998545552E-001                  9.9999996961032755E-001                  1.0000000000000000E+000                  7.8126632274688745E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2961268315825711E+034                  3.1908612395136958E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5540119283579772E+000                  4.8011412690000210E-001                  1.6275480499847969E+001                  6.1124121571389556E-001                  7.0759899461682156E-005                  7.1999363640843805E-001                  2.6600007415053939E-001                  1.7939063714747967E-003                  6.6056910216966559E-004                  6.5712403781916437E-003                  0.0000000000000000E+000                  1.8316842575900934E-003                  6.1644275234446974E-004                  6.5712999774571882E-003                  0.0000000000000000E+000                 -1.4266750356873162E-001                 -5.7511836336893285E-001                  2.1599881439970265E+001                  7.9800011600167347E+000                  1.2846138242106098E+000                  5.7063690020066211E+000                 -2.8100899173921469E+001                 -1.7507132525203144E+001                 -2.1305106293737886E+001                 -2.7149782273993448E+001                  5.8789853261308709E+000                  1.5175467314370787E-005                  6.5414151701012856E-012                                        0                                      614                  9.7986467636697050E-001                  2.2645143705459938E-035                  1.2084485469731522E+008                  3.1419662221301955E+008                  1.9704200626799338E-007                  0.0000000000000000E+000                  7.4784521050580292E-007                  0.0000000000000000E+000                  3.4847346490907287E-008                  1.0000000000000000E+000                  9.0655956079227955E-008                  0.0000000000000000E+000                  1.5250800640270818E-009                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1128746602473911E+000                  3.4847346490907287E-008 
                                       2                  3.6514837167011130E+001                  2.9999998818589791E+001                 -2.3142323563013251E-008                                     3367                  5.3004825372151451E+001                  4.5626590118865336E+000                  3.6530785600546667E+004                  1.0024095726415487E+005                  7.9041967075496515E+000                  1.0024095726415487E+005                  5.0010452053579515E+000                  8.9785773977040417E-001                  7.9041967075496515E+000                  4.1194733853793224E+000                  5.4414218979797244E+000                 -4.4037669262177248E-001                  6.6666666666666663E-001                  1.6110261695419046E+019                  7.1921745364013991E-005                  6.0628035869187513E-001                  1.1863043097711957E-004                  4.0703635978103483E+002                  6.7137140683978657E+002                  1.2033488910710235E+008                  0.0000000000000000E+000                  1.1192275674568748E+000                  1.6573248385097830E+001                  2.5365161931055740E+000                  7.1178265962785339E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6774247977124936E+000                  1.6577161348573565E+001                  5.5244163459193385E-001                  7.8126631830599536E-008                  9.9999999547008922E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126631830599536E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2715412541991745E+034                  3.1739573752670910E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5530863354063129E+000                  4.7525954671028431E-001                  1.6270156647960881E+001                  6.1124394820236994E-001                  7.2112157954289178E-005                  7.1998851803589270E-001                  2.6600013709828785E-001                  1.7635404824117306E-003                  6.9603824532616602E-004                  6.5711920666683037E-003                  0.0000000000000000E+000                  1.8316842575900950E-003                  6.1644275234446942E-004                  6.5712999774571916E-003                  0.0000000000000000E+000                 -1.4266750356873115E-001                 -5.7511836336893307E-001                  2.1599792881106659E+001                  7.9800021456745336E+000                  1.2807531225761764E+000                  5.6774073747762417E+000                 -2.8176782480028585E+001                 -1.7558795497197547E+001                 -2.1332650569151347E+001                 -2.7205564750191197E+001                  5.8545372457272480E+000                  2.4375996752858189E-006                 -6.9751935573208335E-012                                        0                                      598                  9.7986468863397924E-001                  2.3011077498398723E-035                  1.2033488910710235E+008                  3.1287071167846614E+008                  1.0120198334997559E-007                  0.0000000000000000E+000                  7.4784516832087451E-007                  0.0000000000000000E+000                  2.0559187260502414E-008                  1.0000000000000000E+000                  6.6263293640079022E-008                  0.0000000000000000E+000                  4.6946173757039006E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1262700548030247E+000                  2.0559187260502414E-008 
                                       3                  4.9497890381948423E+001                  2.9999998508251050E+001                 -2.3903371557902292E-008                                     3366                  5.2998767732574279E+001                  4.5638959759555080E+000                  3.6634981448648890E+004                  1.0173392251215213E+005                  7.9176099643467355E+000                  1.0173392251215213E+005                  5.0074657897306336E+000                  8.9859410381879690E-001                  7.9176099643467355E+000                  4.1180006527899229E+000                  5.4432645501544794E+000                 -4.3579876042384597E-001                  6.6666666666666663E-001                  1.5938586883877886E+019                  7.1000808054797463E-005                  6.0045790019482481E-001                  1.1824703891275158E-004                  4.0234503530234326E+002                  6.7006860508969351E+002                  1.2023291535429408E+008                  0.0000000000000000E+000                  1.1190390347678942E+000                  1.7790077347153154E+001                  2.6526341083655924E+000                  7.0948223347650947E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6616753164336124E+000                  1.7798723491618379E+001                  5.9300260772547242E-001                  7.8126631941621838E-008                  9.9999999444738674E-001                  9.9999996025990523E-001                  1.0000000000000000E+000                  7.8126631941621838E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2597272846725300E+034                  3.1652083954347790E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5524407938609945E+000                  4.7291825429800388E-001                  1.6267258113842100E+001                  6.1124575049694663E-001                  7.0936471651758868E-005                  7.1998514342617648E-001                  2.6600018025089917E-001                  1.7435296549349912E-003                  7.1941229997568720E-004                  6.5711599646568830E-003                  0.0000000000000000E+000                  1.8316842575900952E-003                  6.1644275234446974E-004                  6.5712999774571916E-003                  0.0000000000000000E+000                 -1.4266750356873106E-001                 -5.7511836336893307E-001                  2.1599724545916942E+001                  7.9800029309417901E+000                  1.2793693660739422E+000                  5.6616573075261973E+000                 -2.8215031638313977E+001                 -1.7585879454368730E+001                 -2.1343434673017978E+001                 -2.7233441668800673E+001                  5.8387418678124368E+000                  6.0987504557898480E-007                 -1.2583868250286462E-012                                        0                                      597                  9.7986469877031235E-001                  2.3353799317688530E-035                  1.2023291535429408E+008                  3.1260557992116463E+008                  1.0478305524097471E-007                  0.0000000000000000E+000                  7.4784514865996725E-007                  0.0000000000000000E+000                  2.1280012436898343E-008                  1.0000000000000000E+000                  6.7870048225438957E-008                  0.0000000000000000E+000                  5.0701085482780971E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1234762075050297E+000                  2.1280012436898343E-008 
                                       4                  6.1315892356892086E+001                  2.9999998216553053E+001                 -2.4682513571069994E-008                                     3366                  5.2998541031044937E+001                  4.5639488581158894E+000                  3.6639442603465744E+004                  1.0222456394660797E+005                  7.9347468935896854E+000                  1.0222456394660797E+005                  5.0095552666855481E+000                  8.9953307797549209E-001                  7.9347468935896854E+000                  4.1161227002537712E+000                  5.4442961671111743E+000                 -4.3474090042562635E-001                  6.6666666666666663E-001                  1.5935593382104898E+019                  7.0702675498153874E-005                  6.0039807950290569E-001                  1.1776227118674896E-004                  4.0147917858011130E+002                  6.6869325662573806E+002                  1.2010300913608886E+008                  0.0000000000000000E+000                  1.1188050430302257E+000                  1.8008055734108822E+001                  2.6781181335812634E+000                  7.0657362712049372E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6436482368134566E+000                  1.8015872326676575E+001                  6.0026856015519847E-001                  7.8126631941621838E-008                  9.9999999473958745E-001                  9.9999996025990523E-001                  1.0000000000000000E+000                  7.8126631941621838E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2453296619264663E+034                  3.1539891069546915E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5516328816743217E+000                  4.7032800674115938E-001                  1.6263895723217527E+001                  6.1124740255087429E-001                  7.0675017606329396E-005                  7.1998205106472923E-001                  2.6600022099240328E-001                  1.7251996279767513E-003                  7.4082319509137778E-004                  6.5711304061832707E-003                  0.0000000000000000E+000                  1.8316842575900891E-003                  6.1644275234446909E-004                  6.5712999774571830E-003                  0.0000000000000000E+000                 -1.4266750356873201E-001                 -5.7511836336893318E-001                  2.1599664859948557E+001                  7.9800036352507808E+000                  1.2767912598334819E+000                  5.6436295757381778E+000                 -2.8262500355689664E+001                 -1.7618068924642859E+001                 -2.1362056667370098E+001                 -2.7268239635618603E+001                  5.8208776132058713E+000                  8.5482928430149787E-007                  1.8863192296513547E-013                                        0                                      597                  9.7986470829779837E-001                  2.3466430036400099E-035                  1.2010300913608886E+008                  3.1226782375383103E+008                  1.0878765954762201E-007                  0.0000000000000000E+000                  7.4784513241399433E-007                  0.0000000000000000E+000                  2.1967175183874326E-008                  1.0000000000000000E+000                  6.9464646642437439E-008                  0.0000000000000000E+000                  5.4429724211705161E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1234477168361356E+000                  2.1967175183874326E-008 
                                       5                  7.5497494726824470E+001                  2.9999997862889646E+001                 -2.4938183768813210E-008                                     3366                  5.2998220381145849E+001                  4.5638733468137893E+000                  3.6633072613460376E+004                  1.0258876881043839E+005                  7.9516338921072673E+000                  1.0258876881043839E+005                  5.0110998177871142E+000                  9.0045637613047491E-001                  7.9516338921072673E+000                  4.1142760988240035E+000                  5.4449960002121207E+000                 -4.3389618242500633E-001                  6.6666666666666663E-001                  1.5928909923709161E+019                  7.0402838399586499E-005                  6.0013140888466787E-001                  1.1731497809893179E-004                  4.0057117861551268E+002                  6.6747739688741854E+002                  1.1997540840807605E+008                  0.0000000000000000E+000                  1.1186381664689191E+000                  1.8180433189196822E+001                  2.7001176341263928E+000                  7.0388994427372212E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6233347756835688E+000                  1.8186965405469930E+001                  6.0601448281055492E-001                  7.8126633273889468E-008                  9.9999999473958745E-001                  9.9999996048246753E-001                  1.0000000000000000E+000                  7.8126633273889468E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2290345570884858E+034                  3.1412554776816842E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5507262271506113E+000                  4.6742314865537571E-001                  1.6260123926519753E+001                  6.1124926311029948E-001                  7.0352139180117836E-005                  7.1997856821344242E-001                  2.6600026858370246E-001                  1.7045651121348673E-003                  7.6492610832208825E-004                  6.5710969074230666E-003                  0.0000000000000000E+000                  1.8316842575900928E-003                  6.1644275234446963E-004                  6.5712999774571830E-003                  0.0000000000000000E+000                 -1.4266750356873162E-001                 -5.7511836336893263E-001                  2.1599596499317034E+001                  7.9800044682029361E+000                  1.2738839800620700E+000                  5.6233153514796932E+000                 -2.8315831346404575E+001                 -1.7654289397186595E+001                 -2.1383369512731939E+001                 -2.7307317471279774E+001                  5.8007520534761667E+000                  7.0145094063404259E-007                 -9.8178895873834851E-014                                        0                                      597                  9.7986471984920875E-001                  2.3550036324421794E-035                  1.1997540840807605E+008                  3.1193606186099774E+008                  1.0996572386046195E-007                  0.0000000000000000E+000                  7.4784511714384847E-007                  0.0000000000000000E+000                  2.2195552695833230E-008                  1.0000000000000000E+000                  6.9970671731366730E-008                  0.0000000000000000E+000                  5.5701346055955701E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1233208308868521E+000                  2.2195552695833230E-008 
                                       6                  9.2515417570743352E+001                  2.9999997435237823E+001                 -2.5129495893548356E-008                                     3366                  5.2998223731087236E+001                  4.5636342932333118E+000                  3.6612913809241749E+004                  1.0282058604944436E+005                  7.9693813997437575E+000                  1.0282058604944436E+005                  5.0120800748987877E+000                  9.0142461184726752E-001                  7.9693813997437575E+000                  4.1123396211995233E+000                  5.4454638644859417E+000                 -4.3338378958715384E-001                  6.6666666666666663E-001                  1.5928359097491173E+019                  7.0112684927959004E-005                  5.9992098313430198E-001                  1.1687246922116518E-004                  3.9976270159725067E+002                  6.6636388027767327E+002                  1.1984174277243826E+008                  0.0000000000000000E+000                  1.1185207122565419E+000                  1.8342443460567910E+001                  2.7220561310693201E+000                  7.0123489102192320E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6002329040291476E+000                  1.8348784305760269E+001                  6.1141483429005172E-001                  7.8126634162067887E-008                  9.9999999473958745E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126634162067887E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2103664173447319E+034                  3.1265983398802314E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5496951042987792E+000                  4.6414283698111547E-001                  1.6255852531128081E+001                  6.1125135167584810E-001                  7.0045137981039000E-005                  7.1997465837817531E-001                  2.6600032418511771E-001                  1.6814138333384123E-003                  7.9196906984567125E-004                  6.5710590374104339E-003                  0.0000000000000000E+000                  1.8316842575900919E-003                  6.1644275234446942E-004                  6.5712999774571873E-003                  0.0000000000000000E+000                 -1.4266750356873162E-001                 -5.7511836336893307E-001                  2.1599518702865666E+001                  7.9800054504207525E+000                  1.2705139195156376E+000                  5.6002125769260314E+000                 -2.8376532158861199E+001                 -1.7695497688746137E+001                 -2.1408358432266866E+001                 -2.7351785795654273E+001                  5.7778818277616280E+000                  6.1431594717868480E-007                 -4.6873280390302712E-014                                        0                                      597                  9.7986473381724104E-001                  2.3603252080689607E-035                  1.1984174277243826E+008                  3.1158853120833945E+008                  1.1079310233030058E-007                  0.0000000000000000E+000                  7.4784509862986690E-007                  0.0000000000000000E+000                  2.2365895264506393E-008                  1.0000000000000000E+000                  7.0340772804165802E-008                  0.0000000000000000E+000                  5.6660397491297451E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1232207731991188E+000                  2.2365895264506393E-008 
                                       7                  1.1293692498344600E+002                  2.9999996919561422E+001                 -2.5251632606904058E-008                                     3366                  5.2998474636151599E+001                  4.5632608816594411E+000                  3.6581447119049080E+004                  1.0295201038110669E+005                  7.9881978597604677E+000                  1.0295201038110669E+005                  5.0126348316621261E+000                  9.0244881337667693E-001                  7.9881978597604677E+000                  4.1102912106755234E+000                  5.4457551593063789E+000                 -4.3312032764425251E-001                  6.6666666666666663E-001                  1.5932622525618317E+019                  6.9823837022216510E-005                  5.9972684213290262E-001                  1.1642866451084422E-004                  3.9901384906161212E+002                  6.6533093698128289E+002                  1.1970051296483858E+008                  0.0000000000000000E+000                  1.1184484295190043E+000                  1.8502860446922131E+001                  2.7447640274270451E+000                  6.9857198706506536E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5742910992373869E+000                  1.8503656238554267E+001                  6.1676207822732776E-001                  7.8126635050246307E-008                  9.9999999473958745E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126635050246307E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1892635742733066E+034                  3.1099542985661524E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5485421668301047E+000                  4.6049394649752218E-001                  1.6251091294454433E+001                  6.1125369092942605E-001                  6.9742025206354430E-005                  7.1997027895630972E-001                  2.6600038921906838E-001                  1.6554983870134942E-003                  8.2224116959791929E-004                  6.5710162804125177E-003                  0.0000000000000000E+000                  1.8316842575900928E-003                  6.1644275234446974E-004                  6.5712999774571908E-003                  0.0000000000000000E+000                 -1.4266750356873167E-001                 -5.7511836336893318E-001                  2.1599430743341244E+001                  7.9800066055206242E+000                  1.2667202770417878E+000                  5.5742697085774040E+000                 -2.8444478360563231E+001                 -1.7741707363589036E+001                 -2.1436914600374834E+001                 -2.7401543246763634E+001                  5.7522149232814730E+000                  5.4306020813771348E-007                 -3.2232560256415935E-014                                        0                                      597                  9.7986475066034684E-001                  2.3633421947627564E-035                  1.1970051296483858E+008                  3.1122133370858032E+008                  1.1123472479565853E-007                  0.0000000000000000E+000                  7.4784507624265376E-007                  0.0000000000000000E+000                  2.2474681530872515E-008                  1.0000000000000000E+000                  7.0565829802094964E-008                  0.0000000000000000E+000                  5.7277618093133372E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1231285100537753E+000                  2.2474681530872515E-008 
                                       8                  1.3744273387868918E+002                  2.9999996299047591E+001                 -2.5321091505658858E-008                                     3368                  5.2998947065054452E+001                  4.5627697193266910E+000                  3.6540098970707011E+004                  1.0300386147222803E+005                  8.0083026060234133E+000                  1.0300386147222803E+005                  5.0128535061094999E+000                  9.0354047526586412E-001                  8.0083026060234133E+000                  4.1081078779142901E+000                  5.4453973523436625E+000                 -4.3254384623416314E-001                  6.6666666666666663E-001                  1.5941536338287290E+019                  6.9532456992549499E-005                  5.9955509355828007E-001                  1.1597601603509568E-004                  3.9831171347847607E+002                  6.6435043221844774E+002                  1.1955016396685110E+008                  0.0000000000000000E+000                  1.1184150114309444E+000                  1.8645014045729340E+001                  2.7666275169142485E+000                  6.9585609621057403E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5454722888166064E+000                  1.8650188983203691E+001                  6.2150054486244266E-001                  7.8126639602160708E-008                  9.9999999473958745E-001                  9.9999995909110251E-001                  1.0000000000000000E+000                  7.8126639602160708E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1656662471768918E+034                  3.0912640647554537E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5472704312547201E+000                  4.5648731154358307E-001                  1.6245853664250173E+001                  6.1125629793403768E-001                  6.9439500648068233E-005                  7.1996539784579927E-001                  2.6600046520419079E-001                  1.6266350029990656E-003                  8.5595719998563067E-004                  6.5709681862743709E-003                  0.0000000000000000E+000                  1.8316842575900934E-003                  6.1644275234446920E-004                  6.5712999774571856E-003                  0.0000000000000000E+000                 -1.4266750356873148E-001                 -5.7511836336893274E-001                  2.1599331946959794E+001                  7.9800079602733707E+000                  1.2625387698651025E+000                  5.5454496495626122E+000                 -2.8519522721965672E+001                 -1.7792911743992779E+001                 -2.1468974032455250E+001                 -2.7456472923330246E+001                  5.7237155496787988E+000                  4.8402698726664301E-007                 -2.2446263576714687E-014                                        0                                      599                  9.7986477092767021E-001                  2.3645325251522677E-035                  1.1955016396685110E+008                  3.1083042631381285E+008                  1.1137667327096349E-007                  0.0000000000000000E+000                  7.4784504924742680E-007                  0.0000000000000000E+000                  2.2536481220838650E-008                  1.0000000000000000E+000                  7.0679257695300176E-008                  0.0000000000000000E+000                  5.7629904576660282E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1230469296861385E+000                  2.2536481220838650E-008 
                                       9                  1.6684970455298100E+002                  2.9999995553619861E+001                 -2.5348674494355030E-008                                     3365                  5.2999608471192111E+001                  4.5621769000943022E+000                  3.6490255150956596E+004                  1.0299436819837040E+005                  8.0298253534960899E+000                  1.0299436819837040E+005                  5.0128134778387610E+000                  9.0470609959527337E-001                  8.0298253534960899E+000                  4.1057766184642981E+000                  5.4454592351764033E+000                 -4.3264575733764266E-001                  6.6666666666666663E-001                  1.5954680941383315E+019                  6.9235308308606289E-005                  5.9940831441771558E-001                  1.1550867014111859E-004                  3.9764186528034691E+002                  6.6339559458658391E+002                  1.1938983680037031E+008                  0.0000000000000000E+000                  1.1184116698814535E+000                  1.8777604500500985E+001                  2.7884297159089719E+000                  6.9305209662515473E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5138037872897723E+000                  1.8785360190714766E+001                  6.2592024278601066E-001                  7.8126639935227615E-008                  9.9999999444738674E-001                  9.9999995914207163E-001                  1.0000000000000000E+000                  7.8126639935227615E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1395710483252216E+034                  3.0705044557776504E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5458872305661799E+000                  4.5214734109789129E-001                  1.6240170841296290E+001                  6.1125918928144551E-001                  6.9134444481891295E-005                  7.1995998377918891E-001                  2.6600055391527438E-001                  1.5946464404372187E-003                  8.9332436632757301E-004                  6.5709142700612812E-003                  0.0000000000000000E+000                  1.8316842575900926E-003                  6.1644275234446920E-004                  6.5712999774571812E-003                  0.0000000000000000E+000                 -1.4266750356873154E-001                 -5.7511836336893274E-001                  2.1599221700608673E+001                  7.9800095452250259E+000                  1.2580338356759868E+000                  5.5137796867699524E+000                 -2.8601264620773858E+001                 -1.7848965216710319E+001                 -2.1504322478318411E+001                 -2.7516272208413554E+001                  5.6924114250949653E+000                  4.3241194711107166E-007                 -1.6481705917595260E-014                                        0                                      596                  9.7986479527495285E-001                  2.3643146585280147E-035                  1.1938983680037031E+008                  3.1041357568096280E+008                  1.1127482987643640E-007                  0.0000000000000000E+000                  7.4784501676404880E-007                  0.0000000000000000E+000                  2.2560888138498218E-008                  1.0000000000000000E+000                  7.0702366335896313E-008                  0.0000000000000000E+000                  5.7769376537457521E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1229772408012118E+000                  2.2560888138498218E-008 
